,ESTADO,PRODUTO,MES_ANO,VL_VENDA
528,BA,DIESEL S10,02/2022,6.271844660194175
529,BA,DIESEL S10,02/2023,5.386503067484663
530,BA,DIESEL S10,02/2024,5.416309012875536
531,BA,DIESEL S10,02/2025,5.670212765957447
532,BA,DIESEL S10,03/2022,6.3438735177865615
533,BA,DIESEL S10,03/2023,5.227642276422764
534,BA,DIESEL S10,03/2024,5.528409090909091
535,BA,DIESEL S10,03/2025,5.888235294117648
536,BA,DIESEL S10,04/2022,6.439716312056738
537,BA,DIESEL S10,04/2023,5.304878048780488
538,BA,DIESEL S10,04/2024,5.451790633608815
539,BA,DIESEL S10,04/2025,5.76530612244898
540,BA,DIESEL S10,05/2022,6.54590570719603
541,BA,DIESEL S10,05/2023,5.385542168674699
542,BA,DIESEL S10,05/2024,5.600719424460432
543,BA,DIESEL S10,05/2025,5.777777777777778
544,BA,DIESEL S10,06/2022,6.621621621621622
545,BA,DIESEL S10,06/2023,5.204787234042553
546,BA,DIESEL S10,06/2024,5.568548387096774
547,BA,DIESEL S10,06/2025,5.99581589958159
548,BA,DIESEL S10,07/2022,6.493723849372385
549,BA,DIESEL S10,07/2023,5.261324041811847
550,BA,DIESEL S10,07/2024,5.5508771929824565
551,BA,DIESEL S10,07/2025,5.830409356725146
552,BA,DIESEL S10,08/2022,6.371428571428571
553,BA,DIESEL S10,08/2023,5.187898089171974
554,BA,DIESEL S10,08/2024,5.444444444444445
555,BA,DIESEL S10,08/2025,5.741379310344827
556,BA,DIESEL S10,09/2022,6.45925925925926
557,BA,DIESEL S10,09/2023,5.271428571428571
558,BA,DIESEL S10,09/2024,5.580555555555556
559,BA,DIESEL S10,09/2025,5.776595744680851
560,BA,DIESEL S10,10/2022,6.355555555555555
561,BA,DIESEL S10,10/2023,5.266932270916334
562,BA,DIESEL S10,10/2024,5.45819397993311
563,BA,DIESEL S10,10/2025,5.840909090909091
564,BA,DIESEL S10,11/2022,6.452961672473868
565,BA,DIESEL S10,11/2023,5.385665529010239
566,BA,DIESEL S10,11/2024,5.469453376205788
567,BA,DIESEL S10,11/2025,5.824742268041237
568,BA,DIESEL S10,12/2022,6.366589327146172
569,BA,DIESEL S10,12/2023,5.336336336336337
570,BA,DIESEL S10,12/2024,5.5638297872340425
571,BA,DIESEL S10,12/2025,5.7102272727272725
572,BA,DIESEL S10,<NA>/<NA>,5.73479223014507
670,CE,DIESEL S10,01/2022,6.24633431085044
671,CE,DIESEL S10,01/2023,5.43455497382199
672,CE,DIESEL S10,01/2024,5.579831932773109
673,CE,DIESEL S10,01/2025,6.03125
674,CE,DIESEL S10,02/2022,5.884745762711864
675,CE,DIESEL S10,02/2023,5.47239263803681
676,CE,DIESEL S10,02/2024,5.373205741626794
677,CE,DIESEL S10,02/2025,5.578947368421052
678,CE,DIESEL S10,03/2022,5.972027972027972
679,CE,DIESEL S10,03/2023,5.482051282051282
680,CE,DIESEL S10,03/2024,5.569060773480663
681,CE,DIESEL S10,03/2025,6.021978021978022
682,CE,DIESEL S10,04/2022,5.954819277108434
683,CE,DIESEL S10,04/2023,5.562841530054645
684,CE,DIESEL S10,04/2024,5.621621621621622
685,CE,DIESEL S10,04/2025,5.784090909090909
686,CE,DIESEL S10,05/2022,6.504398826979473
687,CE,DIESEL S10,05/2023,5.227467811158799
688,CE,DIESEL S10,05/2024,5.605714285714286
689,CE,DIESEL S10,05/2025,5.75
690,CE,DIESEL S10,06/2022,6.597701149425287
691,CE,DIESEL S10,06/2023,5.436507936507937
692,CE,DIESEL S10,06/2024,5.429268292682927
693,CE,DIESEL S10,06/2025,5.868131868131868
694,CE,DIESEL S10,07/2022,6.5019762845849804
695,CE,DIESEL S10,07/2023,5.485477178423237
696,CE,DIESEL S10,07/2024,5.424242424242424
697,CE,DIESEL S10,07/2025,5.870967741935484
698,CE,DIESEL S10,08/2022,6.425287356321839
699,CE,DIESEL S10,08/2023,5.279329608938547
700,CE,DIESEL S10,08/2024,5.576923076923077
701,CE,DIESEL S10,08/2025,5.62962962962963
702,CE,DIESEL S10,09/2022,5.73352435530086
703,CE,DIESEL S10,09/2023,5.325842696629214
704,CE,DIESEL S10,09/2024,5.429906542056075
705,CE,DIESEL S10,09/2025,5.415384615384616
706,CE,DIESEL S10,10/2022,6.656521739130435
707,CE,DIESEL S10,10/2023,5.222222222222222
708,CE,DIESEL S10,10/2024,5.673758865248227
709,CE,DIESEL S10,10/2025,6.183673469387755
710,CE,DIESEL S10,11/2022,6.709677419354839
711,CE,DIESEL S10,11/2023,5.458563535911602
712,CE,DIESEL S10,11/2024,5.538922155688622
713,CE,DIESEL S10,11/2025,5.904347826086957
714,CE,DIESEL S10,12/2022,6.211845102505695
715,CE,DIESEL S10,12/2023,5.065217391304348
716,CE,DIESEL S10,12/2024,5.670212765957447
717,CE,DIESEL S10,12/2025,5.433962264150943
718,CE,DIESEL S10,<NA>/<NA>,5.799097767752975
817,DF,DIESEL S10,01/2022,6.458333333333333
818,DF,DIESEL S10,01/2023,4.918367346938775
819,DF,DIESEL S10,01/2024,5.023255813953488
820,DF,DIESEL S10,01/2025,5.857142857142857
821,DF,DIESEL S10,02/2022,5.5
822,DF,DIESEL S10,02/2023,5.357142857142857
823,DF,DIESEL S10,02/2024,5.076923076923077
824,DF,DIESEL S10,02/2025,5.615384615384615
825,DF,DIESEL S10,03/2022,6.468085106382978
826,DF,DIESEL S10,03/2023,5.5
827,DF,DIESEL S10,03/2024,5.190476190476191
828,DF,DIESEL S10,03/2025,5.967741935483871
829,DF,DIESEL S10,04/2022,5.76
830,DF,DIESEL S10,04/2023,5.317073170731708
831,DF,DIESEL S10,04/2024,5.181818181818182
832,DF,DIESEL S10,04/2025,6.0
833,DF,DIESEL S10,05/2022,5.555555555555555
834,DF,DIESEL S10,05/2023,5.602941176470588
835,DF,DIESEL S10,05/2024,5.214285714285714
836,DF,DIESEL S10,05/2025,6.0
837,DF,DIESEL S10,06/2022,6.931818181818182
838,DF,DIESEL S10,06/2023,5.380952380952381
839,DF,DIESEL S10,06/2024,5.092592592592593
840,DF,DIESEL S10,06/2025,5.3478260869565215
841,DF,DIESEL S10,07/2022,5.931034482758621
842,DF,DIESEL S10,07/2023,5.5
843,DF,DIESEL S10,07/2024,5.083333333333333
844,DF,DIESEL S10,07/2025,5.7368421052631575
845,DF,DIESEL S10,08/2022,6.306451612903226
846,DF,DIESEL S10,08/2023,4.9393939393939394
847,DF,DIESEL S10,08/2024,5.086956521739131
848,DF,DIESEL S10,08/2025,6.0
849,DF,DIESEL S10,09/2022,5.886363636363637
850,DF,DIESEL S10,09/2023,5.352941176470588
851,DF,DIESEL S10,09/2024,5.1
